seq_id	source_tag	primary_tag	start	end	score	strand	frame	ID	Parent	locus	Name	description	old_ID	Loci	locus_tag
CP003823.1	DiversityPipeline	gene	706505	708803	.	1	.	CNAG_05202		CNAG_05202		SET domain-containing protein 6	CNAG_05202	Centromeres	CNAG_05202
CP003823.1	DiversityPipeline	gene	752927	754862	.	-1	.	CNAG_05215		CNAG_05215		hypothetical protein	CNAG_05215	Centromeres	CNAG_05215
CP003820.1	DiversityPipeline	gene	123979	126449	.	1	.	CNAG_00040		CNAG_00040	ERG11	cytochrome P450, family 51 (sterol 14- demethylase)	CNAG_00040	ERG11	CNAG_00040
CP003820.1	DiversityPipeline	gene	967715	970168	.	1	.	CNAG_00378		CNAG_00378		hypothetical protein	CNAG_00378	Centromeres	CNAG_00378
CP003820.1	DiversityPipeline	gene	1006714	1012296	.	1	.	CNAG_00383		CNAG_00383	APT3	Aminophospholipid translocase, putative	CNAG_00383	Centromeres	CNAG_00383
CP003820.1	DiversityPipeline	gene	1900719	1907783	.	1	.	CNAG_00730		CNAG_00730	AFR1	ATP-binding cassette transporter	CNAG_00730	AFR1	CNAG_00730
CP003820.1	DiversityPipeline	gene	2258547	2260085	.	-1	.	CNAG_00854		CNAG_00854	ERG2	C-8 sterol isomerase	CNAG_00854	ERG2	CNAG_00854
CP003830.1	DiversityPipeline	gene	866340	868823	.	1	.	CNAG_01780		CNAG_01780		cytoplasmic protein	CNAG_01780	Centromeres	CNAG_01780
CP003830.1	DiversityPipeline	gene	933659	935499	.	-1	.	CNAG_01788		CNAG_01788		tRNA(His) guanylyltransferase	CNAG_01788	Centromeres	CNAG_01788
CP003825.1	DiversityPipeline	gene	777584	780648	.	1	.	CNAG_02254		CNAG_02254	LPI12	quinate permease	CNAG_02254	Centromeres	CNAG_02254
CP003825.1	DiversityPipeline	gene	821763	825175	.	-1	.	CNAG_02240		CNAG_02240		cytoplasmic protein	CNAG_02240	Centromeres	CNAG_02240
CP003824.1	DiversityPipeline	gene	185700	188859	.	1	.	CNAG_06814		CNAG_06814	SXI1alpha	Alpha cell-type homeodomain transcription factor	CNAG_06814	MAT	CNAG_06814
CP003824.1	DiversityPipeline	gene	189560	192241	.	-1	.	CNAG_06813		CNAG_06813	CAP1alpha	O-glucosyltransferase, putative	CNAG_06813	MAT	CNAG_06813
CP003824.1	DiversityPipeline	gene	193324	200779	.	-1	.	CNAG_06812		CNAG_06812	SPO14alpha	phospholipase D, variant	CNAG_06812	MAT	CNAG_06812
CP003824.1	DiversityPipeline	gene	200909	202001	.	1	.	CNAG_06811		CNAG_06811	RPL22alpha	large subunit ribosomal protein L22e	CNAG_06811	MAT	CNAG_06811
CP003824.1	DiversityPipeline	gene	202602	204039	.	1	.	CNAG_06810		CNAG_06810		hypothetical protein	CNAG_06810	MAT	CNAG_06810
CP003824.1	DiversityPipeline	gene	204044	207447	.	-1	.	CNAG_06809		CNAG_06809	IKS1	IKS protein kinase	CNAG_06809	MAT	CNAG_06809
CP003824.1	DiversityPipeline	gene	208236	209840	.	-1	.	CNAG_06808		CNAG_06808	STE3alpha	pheromone a factor receptor	CNAG_06808	MAT	CNAG_06808
CP003824.1	DiversityPipeline	gene	210557	211580	.	-1	.	CNAG_06807		CNAG_06807		hypothetical protein	CNAG_06807	MAT	CNAG_06807
CP003824.1	DiversityPipeline	gene	212068	213909	.	1	.	CNAG_06806		CNAG_06806	ETF1alpha	electron transfer flavoprotein alpha subunit	CNAG_06806	MAT	CNAG_06806
CP003824.1	DiversityPipeline	gene	214530	215070	.	1	.	CNAG_06805		CNAG_06805		hypothetical protein	CNAG_06805	MAT	CNAG_06805
CP003824.1	DiversityPipeline	gene	215850	219594	.	-1	.	CNAG_06804		CNAG_06804	BSP3	BTP/PZ domain-containing protein	CNAG_06804	MAT	CNAG_06804
CP003824.1	DiversityPipeline	gene	222288	222701	.	-1	.	CNAG_07406		CNAG_07406		pheromone alpha	CNAG_07406	MAT	CNAG_07406
CP003824.1	DiversityPipeline	gene	222704	223314	.	1	.	CNAG_07407		CNAG_07407	MFalpha3	fungal mating-type pheromone	CNAG_07407	MAT	CNAG_07407
CP003824.1	DiversityPipeline	gene	223846	230310	.	1	.	CNAG_06971		CNAG_06971	MYO2alpha	myosin class v heavy chain	CNAG_06971	MAT	CNAG_06971
CP003824.1	DiversityPipeline	gene	230211	233167	.	-1	.	CNAG_07408		CNAG_07408	STE20alpha	STE/STE20/PAKA protein kinase, variant	CNAG_07408	MAT	CNAG_07408
CP003824.1	DiversityPipeline	gene	233496	238299	.	1	.	CNAG_06980		CNAG_06980	STE11alpha	STE/STE11 protein kinase	CNAG_06980	MAT	CNAG_06980
CP003824.1	DiversityPipeline	gene	238263	242729	.	-1	.	CNAG_07409		CNAG_07409	RPO41alpha	DNA-directed RNA polymerase, mitochondrial	CNAG_07409	MAT	CNAG_07409
CP003824.1	DiversityPipeline	gene	242901	246213	.	1	.	CNAG_07005		CNAG_07005	BSP2	Armadillo/beta-catenin repeat protein	CNAG_07005	MAT	CNAG_07005
CP003824.1	DiversityPipeline	gene	244073	247927	.	-1	.	CNAG_07004		CNAG_07004	LPD1alpha	dihydrolipoyl dehydrogenase	CNAG_07004	MAT	CNAG_07004
CP003824.1	DiversityPipeline	gene	248015	251440	.	-1	.	CNAG_07410		CNAG_07410	CID1alpha	CID1-family polyA polymerase	CNAG_07410	MAT	CNAG_07410
CP003824.1	DiversityPipeline	gene	251935	255597	.	-1	.	CNAG_07015		CNAG_07015		hypothetical protein	CNAG_07015	MAT	CNAG_07015
CP003824.1	DiversityPipeline	gene	256515	263236	.	1	.	CNAG_07411		CNAG_07411	RUM1alpha	histone demethylase JARID1	CNAG_07411	MAT	CNAG_07411
CP003824.1	DiversityPipeline	gene	263567	266561	.	1	.	CNAG_01457		CNAG_01457	BSP1	hypothetical protein	CNAG_01457	MAT	CNAG_01457
CP003824.1	DiversityPipeline	gene	267859	269211	.	1	.	CNAG_01456		CNAG_01456		hypothetical protein, variant	CNAG_01456	MAT	CNAG_01456
CP003824.1	DiversityPipeline	gene	270518	271941	.	1	.	CNAG_01455		CNAG_01455	RPL39alpha	large subunit ribosomal protein L39	CNAG_01455	MAT	CNAG_01455
CP003824.1	DiversityPipeline	gene	271944	275730	.	-1	.	CNAG_01454		CNAG_01454	STE12alpha	transcription factor STE12	CNAG_01454	MAT	CNAG_01454
CP003824.1	DiversityPipeline	gene	1555262	1559982	.	1	.	CNAG_00960		CNAG_00960		ATP-dependent RNA helicase DHX8/PRP22	CNAG_00960	Centromeres	CNAG_00960
CP003824.1	DiversityPipeline	gene	1580221	1580739	.	-1	.	CNAG_00941		CNAG_00941		hypothetical protein	CNAG_00941	Centromeres	CNAG_00941
CP003827.1	DiversityPipeline	gene	449604	451161	.	1	.	CNAG_03251		CNAG_03251	ARF2	ADP-ribosylation factor	CNAG_03251	Centromeres	CNAG_03251
