Sample	Accession	Chrom_Mean	Chrom_Median	Norm_Mean	Norm_Median	Global_Mode	Global_Mean	Global_Median
SRS8318899	CP047902.1	123.53	126.1	0.92	0.93	135	129.87	127.21
SRS8318899	CP047903.1	167.88	124.93	1.24	0.93	135	129.87	127.21
SRS8318899	CP047904.1	124.18	127.28	0.92	0.94	135	129.87	127.21
SRS8318899	CP047905.1	120.49	126.72	0.89	0.94	135	129.87	127.21
SRS8318899	CP047906.1	123.76	127.06	0.92	0.94	135	129.87	127.21
SRS8318899	CP047907.1	124.9	126.79	0.93	0.94	135	129.87	127.21
SRS8318899	CP047908.1	125.51	128.21	0.93	0.95	135	129.87	127.21
SRS8318899	CP047909.1	126.48	128.12	0.94	0.95	135	129.87	127.21
SRS8318899	CP047910.1	122.66	126.47	0.91	0.94	135	129.87	127.21
SRS8318899	CP047911.1	123.54	127.4	0.92	0.94	135	129.87	127.21
SRS8318899	CP047912.1	120.61	126.47	0.89	0.94	135	129.87	127.21
SRS8318899	CP047913.1	131.69	128.1	0.98	0.95	135	129.87	127.21
SRS8318899	CP047914.1	127.33	129.05	0.94	0.96	135	129.87	127.21
SRS8318899	CP047915.1	161.57	135.81	1.2	1.01	135	129.87	127.21
