Accession	Chrom_Mean	Chrom_Median	Global_Mean	Global_Median	Sample
CP003820.1	53.69	53.13	53.25	52.76	PMY3443
CP003821.1	55.39	52.54	53.25	52.76	PMY3443
CP003822.1	53.18	53.08	53.25	52.76	PMY3443
CP003823.1	53.24	52.94	53.25	52.76	PMY3443
CP003824.1	53.05	52.72	53.25	52.76	PMY3443
CP003825.1	53.03	52.86	53.25	52.76	PMY3443
CP003826.1	52.83	52.57	53.25	52.76	PMY3443
CP003827.1	53.13	52.91	53.25	52.76	PMY3443
CP003828.1	52.83	52.8	53.25	52.76	PMY3443
CP003829.1	53.51	53.05	53.25	52.76	PMY3443
CP003830.1	52.33	52.28	53.25	52.76	PMY3443
CP003831.1	53.42	52.78	53.25	52.76	PMY3443
CP003832.1	52.44	52.17	53.25	52.76	PMY3443
CP003833.2	52.31	52.4	53.25	52.76	PMY3443
CP003820.1	60.18	59.78	61.0	59.85	PMY3391
CP003821.1	64.23	59.58	61.0	59.85	PMY3391
CP003822.1	59.83	59.74	61.0	59.85	PMY3391
CP003823.1	60.02	59.89	61.0	59.85	PMY3391
CP003824.1	67.12	61.13	61.0	59.85	PMY3391
CP003825.1	60.18	59.96	61.0	59.85	PMY3391
CP003826.1	59.65	59.84	61.0	59.85	PMY3391
CP003827.1	59.97	59.97	61.0	59.85	PMY3391
CP003828.1	60.5	60.2	61.0	59.85	PMY3391
CP003829.1	60.33	60.12	61.0	59.85	PMY3391
CP003830.1	59.3	59.15	61.0	59.85	PMY3391
CP003831.1	60.57	59.75	61.0	59.85	PMY3391
CP003832.1	59.51	59.39	61.0	59.85	PMY3391
CP003833.2	59.07	58.98	61.0	59.85	PMY3391
CP003820.1	53.98	53.43	53.49	52.95	PMY3416
CP003821.1	55.2	52.57	53.49	52.95	PMY3416
CP003822.1	53.45	53.09	53.49	52.95	PMY3416
CP003823.1	53.53	52.98	53.49	52.95	PMY3416
CP003824.1	53.49	53.12	53.49	52.95	PMY3416
CP003825.1	53.6	53.3	53.49	52.95	PMY3416
CP003826.1	53.24	53.05	53.49	52.95	PMY3416
CP003827.1	53.41	53.06	53.49	52.95	PMY3416
CP003828.1	52.71	52.63	53.49	52.95	PMY3416
CP003829.1	53.28	53.36	53.49	52.95	PMY3416
CP003830.1	52.61	52.42	53.49	52.95	PMY3416
CP003831.1	53.85	53.17	53.49	52.95	PMY3416
CP003832.1	52.99	52.5	53.49	52.95	PMY3416
CP003833.2	52.52	52.3	53.49	52.95	PMY3416
CP003820.1	54.35	54.52	54.29	54.12	PMY3537
CP003821.1	56.94	53.94	54.29	54.12	PMY3537
CP003822.1	54.18	54.07	54.29	54.12	PMY3537
CP003823.1	53.94	53.91	54.29	54.12	PMY3537
CP003824.1	54.23	54.25	54.29	54.12	PMY3537
CP003825.1	54.33	54.39	54.29	54.12	PMY3537
CP003826.1	54.05	54.32	54.29	54.12	PMY3537
CP003827.1	53.75	54.16	54.29	54.12	PMY3537
CP003828.1	53.96	54.25	54.29	54.12	PMY3537
CP003829.1	54.39	54.3	54.29	54.12	PMY3537
CP003830.1	53.43	53.6	54.29	54.12	PMY3537
CP003831.1	54.12	53.9	54.29	54.12	PMY3537
CP003832.1	54.17	53.93	54.29	54.12	PMY3537
CP003833.2	53.36	53.74	54.29	54.12	PMY3537
CP003820.1	71.21	77.35	44.68	41.37	PMY3624
CP003821.1	44.23	40.56	44.68	41.37	PMY3624
CP003822.1	40.55	40.65	44.68	41.37	PMY3624
CP003823.1	40.74	40.65	44.68	41.37	PMY3624
CP003824.1	40.55	40.53	44.68	41.37	PMY3624
CP003825.1	40.74	40.73	44.68	41.37	PMY3624
CP003826.1	40.91	40.87	44.68	41.37	PMY3624
CP003827.1	40.88	40.81	44.68	41.37	PMY3624
CP003828.1	40.37	40.46	44.68	41.37	PMY3624
CP003829.1	40.39	40.54	44.68	41.37	PMY3624
CP003830.1	40.34	40.38	44.68	41.37	PMY3624
CP003831.1	41.21	40.53	44.68	41.37	PMY3624
CP003832.1	40.54	40.6	44.68	41.37	PMY3624
CP003833.2	39.9	40.03	44.68	41.37	PMY3624
