Accession	Chrom_Mean	Chrom_Median	Global_Mean	Global_Median	Sample
CP003820.1	53.87	53.17	53.38	52.8	PMY3443
CP003821.1	55.72	52.55	53.38	52.8	PMY3443
CP003822.1	53.22	53.08	53.38	52.8	PMY3443
CP003823.1	53.24	52.94	53.38	52.8	PMY3443
CP003824.1	53.18	52.76	53.38	52.8	PMY3443
CP003825.1	53.19	52.89	53.38	52.8	PMY3443
CP003826.1	52.89	52.62	53.38	52.8	PMY3443
CP003827.1	53.19	52.93	53.38	52.8	PMY3443
CP003828.1	52.92	52.83	53.38	52.8	PMY3443
CP003829.1	53.66	53.09	53.38	52.8	PMY3443
CP003830.1	52.48	52.32	53.38	52.8	PMY3443
CP003831.1	53.49	52.81	53.38	52.8	PMY3443
CP003832.1	52.57	52.25	53.38	52.8	PMY3443
CP003833.2	52.54	52.46	53.38	52.8	PMY3443
CP003820.1	60.29	59.8	61.21	59.89	PMY3391
CP003821.1	64.79	59.61	61.21	59.89	PMY3391
CP003822.1	59.88	59.74	61.21	59.89	PMY3391
CP003823.1	60.04	59.89	61.21	59.89	PMY3391
CP003824.1	67.24	61.17	61.21	59.89	PMY3391
CP003825.1	60.36	60.0	61.21	59.89	PMY3391
CP003826.1	59.73	59.88	61.21	59.89	PMY3391
CP003827.1	60.02	60.0	61.21	59.89	PMY3391
CP003828.1	61.12	60.29	61.21	59.89	PMY3391
CP003829.1	60.37	60.14	61.21	59.89	PMY3391
CP003830.1	59.79	59.23	61.21	59.89	PMY3391
CP003831.1	60.69	59.76	61.21	59.89	PMY3391
CP003832.1	59.68	59.46	61.21	59.89	PMY3391
CP003833.2	59.34	59.04	61.21	59.89	PMY3391
CP003820.1	54.14	53.47	53.62	52.99	PMY3416
CP003821.1	55.49	52.58	53.62	52.99	PMY3416
CP003822.1	53.49	53.09	53.62	52.99	PMY3416
CP003823.1	53.53	52.99	53.62	52.99	PMY3416
CP003824.1	53.62	53.18	53.62	52.99	PMY3416
CP003825.1	53.77	53.35	53.62	52.99	PMY3416
CP003826.1	53.29	53.07	53.62	52.99	PMY3416
CP003827.1	53.48	53.1	53.62	52.99	PMY3416
CP003828.1	52.77	52.65	53.62	52.99	PMY3416
CP003829.1	53.4	53.42	53.62	52.99	PMY3416
CP003830.1	52.73	52.46	53.62	52.99	PMY3416
CP003831.1	53.93	53.19	53.62	52.99	PMY3416
CP003832.1	53.12	52.55	53.62	52.99	PMY3416
CP003833.2	52.77	52.41	53.62	52.99	PMY3416
CP003820.1	54.42	54.52	54.41	54.15	PMY3537
CP003821.1	57.3	53.96	54.41	54.15	PMY3537
CP003822.1	54.22	54.07	54.41	54.15	PMY3537
CP003823.1	53.96	53.92	54.41	54.15	PMY3537
CP003824.1	54.31	54.27	54.41	54.15	PMY3537
CP003825.1	54.5	54.44	54.41	54.15	PMY3537
CP003826.1	54.15	54.36	54.41	54.15	PMY3537
CP003827.1	53.8	54.18	54.41	54.15	PMY3537
CP003828.1	54.07	54.27	54.41	54.15	PMY3537
CP003829.1	54.43	54.33	54.41	54.15	PMY3537
CP003830.1	53.52	53.62	54.41	54.15	PMY3537
CP003831.1	54.17	53.91	54.41	54.15	PMY3537
CP003832.1	54.41	53.96	54.41	54.15	PMY3537
CP003833.2	53.6	53.83	54.41	54.15	PMY3537
CP003820.1	71.36	77.39	44.81	41.41	PMY3624
CP003821.1	44.67	40.57	44.81	41.41	PMY3624
CP003822.1	40.59	40.66	44.81	41.41	PMY3624
CP003823.1	40.74	40.65	44.81	41.41	PMY3624
CP003824.1	40.67	40.59	44.81	41.41	PMY3624
CP003825.1	40.89	40.77	44.81	41.41	PMY3624
CP003826.1	40.96	40.91	44.81	41.41	PMY3624
CP003827.1	40.92	40.83	44.81	41.41	PMY3624
CP003828.1	40.41	40.47	44.81	41.41	PMY3624
CP003829.1	40.52	40.57	44.81	41.41	PMY3624
CP003830.1	40.43	40.41	44.81	41.41	PMY3624
CP003831.1	41.28	40.57	44.81	41.41	PMY3624
CP003832.1	40.65	40.66	44.81	41.41	PMY3624
CP003833.2	40.11	40.1	44.81	41.41	PMY3624
