Accession	Coverage	Count_Good	Count_Raw
CP047902.1	1	3756	3756
CP047903.1	1	2275	2275
CP047904.1	1	1710	1710
CP047905.1	1	4823	4823
CP047906.1	1	2685	2685
CP047907.1	1	2394	2394
CP047908.1	1	1877	1877
CP047909.1	1	445	445
CP047910.1	1	2149	2149
CP047911.1	1	3214	3214
CP047912.1	1	5375	5375
CP047913.1	1	976	976
CP047914.1	1	1626	1626
CP047915.1	1	4071	4071
CP047902.1	10	536	536
CP047903.1	10	258	258
CP047904.1	10	488	488
CP047905.1	10	678	678
CP047906.1	10	162	162
CP047907.1	10	533	533
CP047908.1	10	637	637
CP047909.1	10	352	352
CP047910.1	10	284	284
CP047911.1	10	307	307
CP047912.1	10	303	303
CP047913.1	10	82	82
CP047914.1	10	236	236
CP047915.1	10	580	580
CP047902.1	100	5380	5380
CP047903.1	100	4212	4212
CP047904.1	100	2988	2988
CP047905.1	100	2040	2040
CP047906.1	100	3848	3848
CP047907.1	100	2776	2776
CP047908.1	100	2336	2336
CP047909.1	100	2181	2181
CP047910.1	100	2269	2269
CP047911.1	100	2019	2019
CP047912.1	100	2789	2789
CP047913.1	100	1755	1755
CP047914.1	100	1383	1383
CP047915.1	100	922	922
CP047902.1	1000	746	746
CP047903.1	1000	27591	27591
CP047908.1	1000	282	282
CP047913.1	1000	814	814
CP047902.1	101	6024	6024
CP047903.1	101	4639	4639
CP047904.1	101	3389	3389
CP047905.1	101	2574	2574
CP047906.1	101	4456	4456
CP047907.1	101	3294	3294
CP047908.1	101	2742	2742
CP047909.1	101	2533	2533
CP047910.1	101	2609	2609
CP047911.1	101	2235	2235
CP047912.1	101	3291	3291
CP047913.1	101	1876	1876
CP047914.1	101	1505	1505
CP047915.1	101	1094	1094
CP047902.1	102	6995	6995
CP047903.1	102	5533	5533
CP047904.1	102	3912	3912
CP047905.1	102	2705	2705
CP047906.1	102	5191	5191
CP047907.1	102	3734	3734
CP047908.1	102	2950	2950
CP047909.1	102	2865	2865
CP047910.1	102	2865	2865
CP047911.1	102	2552	2552
CP047912.1	102	3847	3847
CP047913.1	102	2067	2067
CP047914.1	102	1702	1702
CP047915.1	102	1261	1261
CP047902.1	103	8053	8053
CP047903.1	103	6381	6381
CP047904.1	103	4347	4347
CP047905.1	103	3328	3328
CP047906.1	103	5538	5538
CP047907.1	103	4213	4213
CP047908.1	103	3522	3522
CP047909.1	103	3193	3193
CP047910.1	103	3184	3184
CP047911.1	103	2670	2670
CP047912.1	103	4293	4293
CP047913.1	103	2210	2210
CP047914.1	103	1825	1825
CP047915.1	103	1502	1502
CP047902.1	104	9075	9075
CP047903.1	104	7013	7013
CP047904.1	104	5087	5087
CP047905.1	104	3670	3670
CP047906.1	104	6433	6433
